#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:09:23', checksum=1834546322, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
102.94642,31.33438,7.706637E-02,1.423622E-01,1.658966E-01,3.139893E-01,5.422426E-02,1.055575E-01
102.94801,31.46928,6.686673E-02,1.239036E-01,1.406248E-01,2.678300E-01,4.891980E-02,9.505209E-02
102.94961,31.60418,5.882633E-02,1.104314E-01,1.195768E-01,2.308873E-01,4.478591E-02,8.712252E-02
102.95122,31.73908,5.289221E-02,1.006794E-01,1.041281E-01,2.051061E-01,4.177360E-02,8.169604E-02
102.95284,31.87398,4.829313E-02,9.373151E-02,9.220043E-02,1.860226E-01,3.969806E-02,7.825712E-02
102.95448,32.00888,4.542268E-02,8.969465E-02,8.482797E-02,1.746654E-01,3.833075E-02,7.623127E-02
103.07366,28.90622,5.416824E-02,8.925886E-02,1.194467E-01,2.049106E-01,3.353973E-02,5.984262E-02
103.07527,29.04111,4.698580E-02,7.845954E-02,9.954777E-02,1.703158E-01,3.254507E-02,5.807273E-02
103.07689,29.17601,4.326156E-02,7.454389E-02,8.777703E-02,1.555942E-01,3.248402E-02,5.859114E-02
103.07852,29.31091,4.300552E-02,7.740185E-02,8.577979E-02,1.606276E-01,3.348330E-02,6.163743E-02
103.08016,29.44581,4.689699E-02,8.684690E-02,9.575376E-02,1.847909E-01,3.579222E-02,6.766038E-02
103.08181,29.58071,5.482236E-02,1.023166E-01,1.157036E-01,2.223710E-01,3.976234E-02,7.722474E-02
103.08347,29.71561,6.586661E-02,1.212935E-01,1.447240E-01,2.726925E-01,4.563331E-02,8.996534E-02
103.08515,29.85050,8.582249E-02,1.553020E-01,1.949435E-01,3.581666E-01,5.698034E-02,1.130453E-01
103.08684,29.98540,1.207457E-01,2.117673E-01,2.841570E-01,5.020280E-01,7.811199E-02,1.537936E-01
103.08854,30.12030,2.319372E-01,3.831225E-01,5.659612E-01,9.400390E-01,1.487927E-01,2.846425E-01
103.09025,30.25520,7.797003E-01,1.165094E+00,1.916869E+00,2.999308E+00,5.092373E-01,8.883681E-01
103.09197,30.39010,5.113270E-01,7.898124E-01,1.261904E+00,1.989731E+00,3.340377E-01,5.998759E-01
